image_name,lpips_score,ssim_score,discarded_lpips_score,discarded_ssim_score
ChestCT_189.png,0.4914,0.2811,0.4919,0.3333
ChestCT_190.png,0.4256,0.3687,0.4375,0.3660
ChestCT_191.png,0.4178,0.3815,0.4211,0.3843
ChestCT_192.png,0.4882,0.2821,0.4877,0.3302
ChestCT_193.png,0.4902,0.2756,0.4802,0.3851
ChestCT_194.png,0.4912,0.2945,0.4677,0.4135
ChestCT_195.png,0.4837,0.3384,0.4482,0.4826
ChestCT_196.png,0.4917,0.3197,0.4520,0.4681
ChestCT_197.png,0.4807,0.2914,0.4779,0.3406
ChestCT_198.png,0.4985,0.2867,0.4644,0.4290
ChestCT_199.png,0.4919,0.3120,0.4567,0.4574
ChestCT_200.png,0.4863,0.2852,0.4856,0.3359
ChestCT_201.png,0.4539,0.3205,0.4674,0.3418
ChestCT_202.png,0.4695,0.3036,0.4780,0.3378
ChestCT_203.png,0.4450,0.4326,0.4208,0.5422
ChestCT_204.png,0.4675,0.3117,0.4673,0.3517
ChestCT_205.png,0.4527,0.4285,0.4191,0.5107
ChestCT_206.png,0.4543,0.4307,0.4253,0.5380
ChestCT_207.png,0.4704,0.3056,0.4778,0.3470
ChestCT_208.png,0.4455,0.3341,0.4627,0.3381
ChestCT_209.png,0.4198,0.4091,0.4100,0.4324
ChestCT_210.png,0.4176,0.3931,0.4143,0.4095
ChestCT_211.png,0.4511,0.3295,0.4642,0.3408
ChestCT_212.png,0.4254,0.4137,0.4143,0.4498
ChestCT_213.png,0.4344,0.3523,0.4496,0.3461
ChestCT_214.png,0.4307,0.3564,0.4438,0.3517
ChestCT_215.png,0.4312,0.4183,0.4127,0.4785
ChestCT_216.png,0.4883,0.2666,0.4922,0.3087
ChestCT_217.png,0.4254,0.3417,0.4373,0.3416
ChestCT_218.png,0.4200,0.3505,0.4233,0.3564
ChestCT_219.png,0.4870,0.2620,0.4887,0.3048
ChestCT_220.png,0.4914,0.2565,0.4859,0.3501
ChestCT_221.png,0.4942,0.2682,0.4758,0.3665
ChestCT_222.png,0.4984,0.2841,0.4729,0.3921
ChestCT_223.png,0.5049,0.2659,0.4757,0.3766
ChestCT_224.png,0.4841,0.2631,0.4844,0.3071
ChestCT_225.png,0.5043,0.2546,0.4777,0.3635
ChestCT_226.png,0.5089,0.2527,0.4839,0.3624
ChestCT_227.png,0.4874,0.2592,0.4901,0.3041
ChestCT_228.png,0.4510,0.3060,0.4665,0.3226
ChestCT_229.png,0.4701,0.2834,0.4793,0.3130
ChestCT_230.png,0.4467,0.3809,0.4268,0.4695
ChestCT_231.png,0.4741,0.2809,0.4746,0.3198
ChestCT_232.png,0.4533,0.3857,0.4247,0.4576
ChestCT_233.png,0.4576,0.3794,0.4333,0.4687
ChestCT_234.png,0.4698,0.2852,0.4787,0.3219
ChestCT_235.png,0.4450,0.3158,0.4622,0.3175
ChestCT_236.png,0.4215,0.3658,0.4154,0.3906
ChestCT_237.png,0.4208,0.3542,0.4177,0.3733
ChestCT_238.png,0.4499,0.3111,0.4636,0.3192
ChestCT_239.png,0.4281,0.3643,0.4198,0.3986
ChestCT_240.png,0.4363,0.3272,0.4518,0.3231
ChestCT_241.png,0.4303,0.3333,0.4447,0.3289
ChestCT_242.png,0.4316,0.3765,0.4183,0.4298
ChestCT_243.png,0.4239,0.3703,0.3440,0.4164
ChestCT_244.png,0.3135,0.4468,0.3777,0.4354
ChestCT_245.png,0.3102,0.4472,0.3676,0.4177
ChestCT_246.png,0.3225,0.4323,0.3937,0.4065
ChestCT_247.png,0.3906,0.3967,0.3963,0.4246
ChestCT_248.png,0.3993,0.3855,0.3922,0.4329
ChestCT_249.png,0.4141,0.4100,0.3875,0.4554
ChestCT_250.png,0.4061,0.3948,0.3954,0.4386
ChestCT_251.png,0.4155,0.4029,0.3853,0.4592
ChestCT_252.png,0.3956,0.3831,0.3597,0.4070
ChestCT_253.png,0.4050,0.3782,0.3983,0.3982
ChestCT_254.png,0.4029,0.3808,0.3943,0.4165
ChestCT_255.png,0.3983,0.3850,0.3516,0.4341
ChestCT_256.png,0.3918,0.3857,0.3441,0.4323
ChestCT_257.png,0.3863,0.3968,0.3945,0.4233
ChestCT_258.png,0.4036,0.3923,0.3589,0.4521
ChestCT_259.png,0.3493,0.3683,0.4005,0.4278
ChestCT_260.png,0.3211,0.5643,0.3749,0.4515
ChestCT_261.png,0.3361,0.5567,0.3732,0.4624
ChestCT_262.png,0.1502,0.7099,0.4043,0.4256
ChestCT_263.png,0.2146,0.6493,0.3956,0.4366
ChestCT_264.png,0.2512,0.6140,0.3870,0.4606
ChestCT_265.png,0.3180,0.5494,0.3914,0.4436
ChestCT_266.png,0.3044,0.5788,0.3980,0.4358
ChestCT_267.png,0.3405,0.3962,0.4030,0.4235
ChestCT_268.png,0.3448,0.4353,0.3703,0.5019
ChestCT_269.png,0.3433,0.4524,0.3991,0.4234
ChestCT_270.png,0.3422,0.3857,0.4005,0.4243
ChestCT_271.png,0.3459,0.3894,0.4067,0.4198
ChestCT_272.png,0.3236,0.5468,0.3824,0.4554
ChestCT_273.png,0.3258,0.5411,0.3771,0.4543
ChestCT_274.png,0.1973,0.6669,0.4111,0.4167
ChestCT_275.png,0.4253,0.4605,0.3732,0.5040
ChestCT_276.png,0.1188,0.7629,0.4089,0.4216
ChestCT_277.png,0.3998,0.4553,0.3634,0.4697
ChestCT_278.png,0.4165,0.4615,0.3678,0.4875
ChestCT_279.png,0.3455,0.3980,0.4021,0.4249
ChestCT_280.png,0.2655,0.6110,0.3959,0.4310
ChestCT_281.png,0.3674,0.4532,0.3908,0.4073
ChestCT_282.png,0.3572,0.4488,0.3950,0.3838
ChestCT_283.png,0.3496,0.3917,0.3935,0.4290
ChestCT_284.png,0.3777,0.4644,0.3806,0.4304
ChestCT_285.png,0.2860,0.5850,0.3947,0.4381
ChestCT_286.png,0.3059,0.5725,0.3858,0.4489
ChestCT_287.png,0.3826,0.4608,0.3613,0.4792
ChestCT_288.png,0.4150,0.4240,0.3961,0.4277
ChestCT_289.png,0.4440,0.3992,0.3745,0.4399
ChestCT_290.png,0.3277,0.5020,0.3720,0.5004
ChestCT_291.png,0.3415,0.4695,0.3940,0.4219
ChestCT_292.png,0.4470,0.3818,0.3801,0.4188
ChestCT_293.png,0.4528,0.3902,0.3769,0.4392
ChestCT_294.png,0.4591,0.3771,0.3832,0.4350
ChestCT_295.png,0.4445,0.3951,0.3364,0.4790
ChestCT_296.png,0.4530,0.3924,0.3540,0.4764
ChestCT_297.png,0.4447,0.3771,0.3941,0.4030
ChestCT_298.png,0.4558,0.3832,0.3753,0.4569
ChestCT_299.png,0.4554,0.3836,0.3662,0.4655
ChestCT_300.png,0.4441,0.3778,0.3885,0.4061
ChestCT_301.png,0.4249,0.3713,0.3918,0.3951
ChestCT_302.png,0.4418,0.4027,0.3258,0.4855
ChestCT_303.png,0.4405,0.4004,0.3186,0.4834
ChestCT_304.png,0.4323,0.3600,0.3996,0.3865
ChestCT_305.png,0.4468,0.4181,0.3897,0.5020
ChestCT_306.png,0.4337,0.3740,0.3924,0.3961
ChestCT_307.png,0.4476,0.4459,0.3877,0.4915
ChestCT_308.png,0.4438,0.4372,0.3789,0.4943
ChestCT_309.png,0.4302,0.3623,0.3916,0.3879
ChestCT_310.png,0.3371,0.4188,0.3984,0.3896
ChestCT_311.png,0.4099,0.4540,0.3990,0.4497
ChestCT_312.png,0.4061,0.4365,0.3831,0.4287
ChestCT_313.png,0.3409,0.4147,0.3950,0.3910
ChestCT_314.png,0.4206,0.4407,0.3922,0.4627
ChestCT_315.png,0.3303,0.4267,0.3823,0.4452
ChestCT_316.png,0.3196,0.4673,0.3719,0.4561
ChestCT_317.png,0.4317,0.4446,0.3793,0.4826
ChestCT_318.png,0.3482,0.3711,0.4018,0.3967
ChestCT_319.png,0.3251,0.5142,0.3729,0.4218
ChestCT_320.png,0.3413,0.5004,0.3773,0.4257
ChestCT_321.png,0.3484,0.3683,0.4051,0.3895
ChestCT_322.png,0.2185,0.5889,0.3970,0.4035
ChestCT_323.png,0.2543,0.5652,0.3980,0.3757
ChestCT_324.png,0.3293,0.4893,0.3800,0.4169
ChestCT_325.png,0.3128,0.5223,0.3861,0.4164
ChestCT_326.png,0.3285,0.4386,0.3908,0.3885
ChestCT_327.png,0.3453,0.4060,0.3982,0.3925
ChestCT_328.png,0.3468,0.4185,0.3886,0.3988
ChestCT_329.png,0.3322,0.4188,0.3916,0.3938
ChestCT_330.png,0.3488,0.3786,0.4107,0.3835
ChestCT_331.png,0.3376,0.4874,0.3747,0.4284
ChestCT_332.png,0.3409,0.4812,0.3693,0.4282
ChestCT_333.png,0.3379,0.4265,0.3965,0.3932
ChestCT_334.png,0.4275,0.4136,0.3790,0.4506
ChestCT_335.png,0.3455,0.3939,0.4055,0.3910
ChestCT_336.png,0.4061,0.4053,0.3722,0.4193
ChestCT_337.png,0.4155,0.4235,0.3709,0.4527
ChestCT_338.png,0.3474,0.3932,0.4048,0.3894
ChestCT_339.png,0.2700,0.5457,0.3994,0.3936
ChestCT_340.png,0.3721,0.4144,0.3969,0.3749
ChestCT_341.png,0.3632,0.4115,0.3994,0.3565
ChestCT_342.png,0.3499,0.3852,0.3964,0.3929
ChestCT_343.png,0.3794,0.4217,0.3845,0.3938
ChestCT_344.png,0.3485,0.4142,0.3811,0.4118
ChestCT_345.png,0.3127,0.5064,0.3913,0.4060
ChestCT_346.png,0.3818,0.4415,0.3662,0.4575
