image_name,lpips_score
1-57.png,0.3667
1-43.png,0.3510
1-55.png,0.3630
1-41.png,0.3561
1-40.png,0.3582
1-54.png,0.3703
1-50.png,0.3528
1-44.png,0.3532
1-45.png,0.3525
1-51.png,0.3580
1-47.png,0.3523
1-53.png,0.3611
1-52.png,0.3607
1-46.png,0.3520
1-21.png,0.3955
1-35.png,0.3624
1-09.png,0.4323
1-08.png,0.4283
1-34.png,0.3656
1-20.png,0.3982
1-36.png,0.3573
1-22.png,0.3940
1-23.png,0.3866
1-37.png,0.3579
1-33.png,0.3714
1-27.png,0.3839
1-26.png,0.3839
1-32.png,0.3693
1-18.png,0.4008
1-24.png,0.3852
1-30.png,0.3795
1-31.png,0.3808
1-25.png,0.3853
1-19.png,0.3986
1-14.png,0.4169
1-28.png,0.3857
1-29.png,0.3816
1-15.png,0.4131
1-01.png,0.4202
1-17.png,0.4031
1-03.png,0.4084
1-02.png,0.4117
1-16.png,0.4081
1-12.png,0.4220
1-06.png,0.4150
1-07.png,0.4265
1-13.png,0.4209
1-39.png,0.3561
1-05.png,0.4091
1-11.png,0.4309
1-10.png,0.4289
1-04.png,0.4086
1-38.png,0.3576
1-63.png,0.3638
1-62.png,0.3630
1-60.png,0.3655
1-48.png,0.3542
1-49.png,0.3540
1-61.png,0.3680
1-59.png,0.3670
1-64.png,0.3591
1-58.png,0.3699
1-21.png,0.3588
1-09.png,0.3616
1-08.png,0.3776
1-20.png,0.3496
1-22.png,0.3561
1-23.png,0.3675
1-27.png,0.3879
1-26.png,0.3855
1-18.png,0.3451
1-24.png,0.3780
1-30.png,0.3994
1-25.png,0.3862
1-19.png,0.3402
1-14.png,0.3450
1-28.png,0.3972
1-29.png,0.3974
1-15.png,0.3389
1-01.png,0.4311
1-17.png,0.3402
1-03.png,0.4303
1-02.png,0.4354
1-16.png,0.3517
1-12.png,0.3445
1-06.png,0.4069
1-07.png,0.3962
1-13.png,0.3458
1-05.png,0.4099
1-11.png,0.3431
1-10.png,0.3461
1-04.png,0.4199
1-21.png,0.4485
1-09.png,0.4069
1-08.png,0.3909
1-20.png,0.4431
1-22.png,0.4492
1-23.png,0.4569
1-27.png,0.4411
1-26.png,0.4497
1-18.png,0.4399
1-24.png,0.4657
1-25.png,0.4595
1-19.png,0.4396
1-14.png,0.4283
1-15.png,0.4301
1-01.png,0.4480
1-17.png,0.4312
1-03.png,0.4461
1-02.png,0.4529
1-16.png,0.4326
1-12.png,0.4327
1-06.png,0.4139
1-07.png,0.3949
1-13.png,0.4288
1-05.png,0.4287
1-11.png,0.4192
1-10.png,0.4150
1-04.png,0.4328
1-21.png,0.4424
1-09.png,0.4027
1-08.png,0.3886
1-20.png,0.4392
1-22.png,0.4480
1-23.png,0.4536
1-27.png,0.4505
1-26.png,0.4593
1-18.png,0.4414
1-24.png,0.4660
1-25.png,0.4719
1-19.png,0.4384
1-14.png,0.4229
1-15.png,0.4271
1-01.png,0.4450
1-17.png,0.4348
1-03.png,0.4424
1-02.png,0.4523
1-16.png,0.4292
1-12.png,0.4295
1-06.png,0.4121
1-07.png,0.3919
1-13.png,0.4250
1-05.png,0.4263
1-11.png,0.4170
1-10.png,0.4115
1-04.png,0.4289
1-1.png,0.3722
1-2.png,0.3591
1-1.png,0.3984
1-1.png,0.3904
1-09.png,0.4070
1-08.png,0.4105
1-01.png,0.4159
1-03.png,0.4211
1-02.png,0.4185
1-12.png,0.4145
1-06.png,0.4146
1-07.png,0.4109
1-05.png,0.4162
1-11.png,0.4103
1-10.png,0.4047
1-04.png,0.4280
1-21.png,0.3552
1-09.png,0.3783
1-08.png,0.3755
1-20.png,0.3558
1-22.png,0.3667
1-23.png,0.3760
1-27.png,0.3983
1-26.png,0.3894
1-18.png,0.3440
1-24.png,0.3735
1-25.png,0.3835
1-19.png,0.3466
1-14.png,0.3492
1-28.png,0.3964
1-29.png,0.3844
